Lineups,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
J. Randle - I. Hartenstein - J. Hart - Q. Grimes - M. McBride,10,8,2,25,124.5,106.1,18.4,66.7,2.67,19.0,50.0,83.3,64.8,11.3,54.6,57.4,97.72,60.4
A. Burks - J. Hart - J. Brunson - P. Achiuwa - J. Sims,4,2,2,24,134.8,130.4,4.3,45.0,1.50,12.0,62.5,60.0,61.5,13.0,47.1,53.0,92.26,46.3
B. Bogdanovic - I. Hartenstein - J. Hart - D. DiVincenzo - M. McBride,9,5,4,24,100.0,114.3,-14.3,83.3,2.50,21.4,20.0,76.5,42.9,12.0,51.2,53.7,97.24,39.4
J. Hart - J. Brunson - D. DiVincenzo - M. McBride - J. Sims,7,4,3,23,100.0,122.0,-22.0,52.4,1.83,15.1,33.3,69.6,48.2,11.8,47.2,47.3,106.44,34.0
J. Randle - I. Hartenstein - J. Hart - J. Brunson - Q. Grimes,14,9,5,23,124.5,126.9,-2.4,57.7,3.00,19.5,36.0,72.2,51.2,9.4,61.0,62.2,111.22,46.5
A. Burks - B. Bogdanovic - I. Hartenstein - J. Hart - M. McBride,9,6,3,21,131.1,95.2,35.9,70.0,7.00,19.4,50.0,79.2,64.0,4.4,52.2,57.0,97.27,70.5
A. Burks - B. Bogdanovic - P. Achiuwa - M. McBride - J. Sims,7,4,3,20,102.4,94.6,7.8,80.0,2.40,20.7,22.2,81.0,53.8,11.9,60.9,62.1,95.24,58.9
J. Hart - J. Brunson - D. DiVincenzo - M. Robinson - I. Quickley,11,6,5,20,129.3,116.7,12.6,50.0,4.50,14.8,47.8,84.6,61.1,4.9,52.4,57.3,93.16,55.1
J. Hart - D. DiVincenzo - Q. Grimes - M. McBride - J. Sims,2,2,0,19,100.0,97.5,2.5,61.5,2.67,14.8,32.0,75.0,51.1,7.9,43.4,46.8,96.94,44.9
O. Anunoby - J. Hart - J. Brunson - D. DiVincenzo - J. Sims,1,1,0,19,134.3,91.7,42.6,62.5,5.00,21.3,11.8,57.9,36.1,5.7,63.6,66.8,91.20,62.3
